,tempID,theTime,temperature,groupName
0,2,2019-07-10 12:37:52,22.2,
1,5,2019-07-10 12:42:32,44.2,
2,6,2019-07-10 12:42:37,44.2,
3,7,2020-02-07 08:42:29,444.0,
4,8,2020-02-07 08:42:35,444.0,
5,9,2020-02-07 08:43:44,444.0,
6,10,2020-02-07 08:47:30,444.0,
7,11,2020-02-07 17:47:57,444.0,{groupName}
8,12,2020-02-07 17:47:59,444.0,{groupName}
9,13,2020-02-07 17:48:26,444.0,{groupName}
10,14,2020-02-07 17:48:48,444.0,Default Grp
11,15,2020-02-07 17:49:32,444.0,Main Group
12,16,2020-02-07 17:52:35,444.0,Default Grp
13,17,2020-02-07 18:35:26,444.0,Default Grp
14,18,2020-02-07 18:35:30,444.0,Default Grp
15,19,2020-02-07 18:35:41,445.0,Default Grp
16,20,2020-02-07 18:37:07,445.0,Main Group
17,21,2020-02-07 19:41:48,20.0,Default Grp
18,23,2020-02-11 16:30:24,20.0,Default Grp
19,24,2020-02-11 16:30:57,2000.0,Default Grp
20,25,2020-02-11 16:31:30,2000.0,Default Grp
21,26,2020-02-11 16:31:31,2000.0,Default Grp
22,27,2020-02-11 23:42:05,22.0,Default Grp
23,28,2020-02-11 23:44:12,22.0,Default Grp
24,29,2020-02-12 00:54:17,2.0,Default Grp
25,30,2020-02-12 00:56:20,2.0,Default Grp
26,31,2020-02-12 00:57:13,553640198.0,Default Grp
27,32,2020-02-12 01:01:07,2.0,Default Grp
28,33,2020-02-12 01:02:10,2.0,Default Grp
29,34,2020-02-12 01:03:00,2.0,Default Grp
30,35,2020-02-12 01:16:35,999999999.99,Default Grp
31,36,2020-02-12 01:19:22,771872147.0,Default Grp
32,37,2020-02-12 01:19:30,771872147.0,Default Grp
33,38,2020-02-12 01:21:17,771872148.0,Default Grp
34,39,2020-02-12 01:22:34,771872148.0,Area51
35,40,2020-02-12 01:28:07,771872148.0,Area51
36,41,2020-02-12 01:28:41,771872148.0,Area51
37,42,2020-02-12 01:29:50,771872148.0,Area51
38,43,2020-02-12 01:30:29,771872148.0,Area51
39,44,2020-02-12 01:31:57,771872148.0,Area51
40,45,2020-02-12 01:34:33,771872148.0,Area51
41,46,2020-02-12 01:35:03,22.0,Default Grp
42,47,2020-02-12 01:35:22,58.0,Default Grp
43,48,2020-02-12 01:36:30,771872148.0,Area51
44,49,2020-02-12 01:36:30,0.0,Area51
45,51,2020-02-12 01:36:31,4.0,Area51
46,52,2020-02-12 01:36:31,6.0,Area51
47,53,2020-02-12 01:36:32,8.0,Area51
48,54,2020-02-12 01:36:32,10.0,Area51
49,55,2020-02-12 01:36:32,12.0,Area51
50,56,2020-02-12 01:36:33,14.0,Area51
51,57,2020-02-12 01:36:33,16.0,Area51
52,58,2020-02-12 01:36:33,18.0,Area51
53,59,2020-02-12 01:36:34,20.0,Area51
54,60,2020-02-12 01:36:34,22.0,Area51
55,62,2020-02-12 01:36:35,26.0,Area51
56,63,2020-02-12 01:36:35,28.0,Area51
57,64,2020-02-12 01:36:35,30.0,Area51
58,65,2020-02-12 01:36:36,32.0,Area51
59,67,2020-02-12 01:36:36,36.0,Area51
60,68,2020-02-12 01:36:37,38.0,Area51
61,69,2020-02-12 01:36:37,40.0,Area51
62,70,2020-02-12 01:36:37,42.0,Area51
63,71,2020-02-12 01:36:38,44.0,Area51
64,72,2020-02-12 01:36:38,46.0,Area51
65,73,2020-02-12 01:36:38,48.0,Area51
66,74,2020-02-12 01:36:39,50.0,Area51
67,75,2020-02-12 01:36:39,52.0,Area51
68,76,2020-02-12 01:36:39,54.0,Area51
69,78,2020-02-12 01:36:40,58.0,Area51
70,79,2020-02-12 01:36:40,60.0,Area51
71,80,2020-02-12 01:36:41,62.0,Area51
72,81,2020-02-12 01:36:41,64.0,Area51
73,82,2020-02-12 01:36:41,66.0,Area51
74,83,2020-02-12 01:36:41,68.0,Area51
75,84,2020-02-12 01:36:42,70.0,Area51
76,85,2020-02-12 01:36:42,72.0,Area51
77,86,2020-02-12 01:36:42,74.0,Area51
78,87,2020-02-12 01:36:43,76.0,Area51
79,88,2020-02-12 01:36:43,78.0,Area51
80,89,2020-02-12 01:36:43,80.0,Area51
81,90,2020-02-12 01:36:44,82.0,Area51
82,91,2020-02-12 01:36:44,84.0,Area51
83,92,2020-02-12 01:36:44,86.0,Area51
84,93,2020-02-12 01:36:45,88.0,Area51
85,94,2020-02-12 01:36:45,90.0,Area51
86,95,2020-02-12 01:36:45,92.0,Area51
87,96,2020-02-12 01:36:46,94.0,Area51
88,97,2020-02-12 01:36:46,96.0,Area51
89,98,2020-02-12 01:36:46,98.0,Area51
90,99,2020-02-12 01:36:47,100.0,Area51
91,100,2020-02-12 01:36:47,102.0,Area51
92,101,2020-02-12 01:36:47,104.0,Area51
93,102,2020-02-12 01:36:48,106.0,Area51
94,103,2020-02-12 01:36:48,108.0,Area51
95,104,2020-02-12 01:36:48,110.0,Area51
96,105,2020-02-12 01:36:49,112.0,Area51
97,106,2020-02-12 01:36:49,114.0,Area51
98,107,2020-02-12 01:36:49,116.0,Area51
99,108,2020-02-12 01:36:50,118.0,Area51
100,109,2020-02-12 01:36:50,120.0,Area51
101,110,2020-02-12 01:36:50,122.0,Area51
102,111,2020-02-12 01:36:51,124.0,Area51
103,112,2020-02-12 01:36:51,126.0,Area51
104,113,2020-02-12 01:36:51,128.0,Area51
105,114,2020-02-12 01:36:52,130.0,Area51
106,115,2020-02-12 01:36:52,132.0,Area51
107,116,2020-02-12 01:36:52,134.0,Area51
108,117,2020-02-12 01:36:53,136.0,Area51
109,118,2020-02-12 01:36:53,138.0,Area51
110,119,2020-02-12 01:36:53,140.0,Area51
111,120,2020-02-12 01:36:53,142.0,Area51
112,121,2020-02-12 01:36:54,144.0,Area51
113,122,2020-02-12 01:36:54,146.0,Area51
114,123,2020-02-12 01:36:55,148.0,Area51
115,124,2020-02-12 01:36:55,150.0,Area51
116,125,2020-02-12 01:36:55,152.0,Area51
117,126,2020-02-12 01:36:56,154.0,Area51
118,127,2020-02-12 01:36:56,156.0,Area51
119,128,2020-02-12 01:36:56,158.0,Area51
120,129,2020-02-12 01:36:57,160.0,Area51
121,130,2020-02-12 01:36:57,162.0,Area51
122,131,2020-02-12 01:36:57,164.0,Area51
123,132,2020-02-12 01:36:58,166.0,Area51
124,133,2020-02-12 01:36:58,168.0,Area51
125,134,2020-02-12 01:36:58,170.0,Area51
126,135,2020-02-12 01:36:59,172.0,Area51
127,136,2020-02-12 01:36:59,174.0,Area51
128,137,2020-02-12 01:36:59,176.0,Area51
129,138,2020-02-12 01:37:00,178.0,Area51
130,139,2020-02-12 01:37:00,180.0,Area51
131,140,2020-02-12 01:37:00,182.0,Area51
132,141,2020-02-12 01:37:01,184.0,Area51
133,142,2020-02-12 01:37:01,186.0,Area51
134,143,2020-02-12 01:37:01,188.0,Area51
135,144,2020-02-12 01:37:01,190.0,Area51
136,145,2020-02-12 01:37:02,192.0,Area51
137,146,2020-02-12 01:37:02,194.0,Area51
138,147,2020-02-12 01:37:02,196.0,Area51
139,148,2020-02-12 01:37:03,198.0,Area51
140,149,2020-02-12 01:37:03,200.0,Area51
141,150,2020-02-12 01:37:03,202.0,Area51
142,151,2020-02-12 01:37:04,204.0,Area51
143,152,2020-02-12 01:37:04,206.0,Area51
144,153,2020-02-12 01:37:04,208.0,Area51
145,154,2020-02-12 01:37:05,210.0,Area51
146,155,2020-02-12 01:37:05,212.0,Area51
147,156,2020-02-12 01:37:05,214.0,Area51
148,157,2020-02-12 01:37:06,216.0,Area51
149,158,2020-02-12 01:37:06,218.0,Area51
150,159,2020-02-12 01:37:06,220.0,Area51
151,160,2020-02-12 01:37:07,222.0,Area51
152,161,2020-02-12 01:37:07,224.0,Area51
153,162,2020-02-12 01:37:07,226.0,Area51
154,163,2020-02-12 01:37:08,228.0,Area51
155,164,2020-02-12 01:37:08,230.0,Area51
156,165,2020-02-12 01:37:08,232.0,Area51
157,166,2020-02-12 01:37:09,234.0,Area51
158,167,2020-02-12 01:37:09,236.0,Area51
159,168,2020-02-12 01:37:09,238.0,Area51
160,169,2020-02-12 01:37:10,240.0,Area51
161,170,2020-02-12 01:37:10,242.0,Area51
162,171,2020-02-12 01:37:10,244.0,Area51
163,172,2020-02-12 01:37:11,246.0,Area51
164,173,2020-02-12 01:37:11,248.0,Area51
165,174,2020-02-12 01:37:11,250.0,Area51
166,175,2020-02-12 01:37:12,252.0,Area51
167,176,2020-02-12 01:37:12,254.0,Area51
168,177,2020-02-12 01:37:12,256.0,Area51
169,178,2020-02-12 01:37:13,258.0,Area51
170,179,2020-02-12 01:37:13,260.0,Area51
171,180,2020-02-12 01:37:13,262.0,Area51
172,181,2020-02-12 01:37:14,264.0,Area51
173,182,2020-02-12 01:37:14,266.0,Area51
174,183,2020-02-12 01:37:14,268.0,Area51
175,184,2020-02-12 01:37:14,270.0,Area51
176,185,2020-02-12 01:37:15,272.0,Area51
177,186,2020-02-12 01:37:15,274.0,Area51
178,187,2020-02-12 01:37:16,276.0,Area51
179,188,2020-02-12 01:37:16,278.0,Area51
180,189,2020-02-12 01:37:16,280.0,Area51
181,190,2020-02-12 01:37:16,282.0,Area51
182,191,2020-02-12 01:37:17,284.0,Area51
183,192,2020-02-12 01:37:17,286.0,Area51
184,193,2020-02-12 01:37:17,288.0,Area51
185,194,2020-02-12 01:37:18,290.0,Area51
186,195,2020-02-12 01:37:18,292.0,Area51
