"DataID","temp1","temp2","ldr","heater","humidity1","humidity2","pump","TimeRead"
"19","33","0","0","0","0","0","0","2020-12-06 14:18:52"
"20","0","0","0","0","0","74","0","2020-12-06 14:18:52"
"21","0","21","0","0","0","0","0","2020-12-06 14:18:52"
"22","0","0","0","0","0","0","OFF","2020-12-06 14:18:52"
"23","0","0","0","0","33","0","0","2020-12-06 14:18:52"
"24","0","0","0","ON","0","0","0","2020-12-06 14:18:52"
"25","0","0","225","0","0","0","0","2020-12-06 14:18:52"
"26","0","23","0","0","0","0","0","2020-12-06 14:18:53"
"27","0","0","0","0","0","83","0","2020-12-06 14:18:53"
"28","30","0","0","0","0","0","0","2020-12-06 14:18:53"
"29","0","0","0","0","32","0","0","2020-12-06 14:18:53"
"30","0","20","0","0","0","0","0","2020-12-06 14:18:54"
"31","39","0","0","0","0","0","0","2020-12-06 14:18:54"
"32","0","0","0","0","0","79","0","2020-12-06 14:18:54"
"33","0","0","0","0","26","0","0","2020-12-06 14:18:54"
"34","0","0","865","0","0","0","0","2020-12-06 14:18:55"
"35","0","27","0","0","0","0","0","2020-12-06 14:18:55"
"36","33","0","0","0","0","0","0","2020-12-06 14:18:55"
"37","0","0","0","0","0","93","0","2020-12-06 14:18:55"
"38","0","0","0","0","32","0","0","2020-12-06 14:18:55"
"39","0","21","0","0","0","0","0","2020-12-06 14:18:56"
"40","33","0","0","0","0","0","0","2020-12-06 14:18:56"
"41","0","0","0","0","0","58","0","2020-12-06 14:18:56"
"42","0","0","0","0","37","0","0","2020-12-06 14:18:56"
"43","0","0","0","0","0","0","OFF","2020-12-06 14:18:57"
"44","0","0","0","OFF","0","0","0","2020-12-06 14:18:57"
"45","0","27","0","0","0","0","0","2020-12-06 14:18:57"
"46","32","0","0","0","0","0","0","2020-12-06 14:18:57"
"47","0","0","0","0","0","74","0","2020-12-06 14:18:57"
"48","0","0","0","0","48","0","0","2020-12-06 14:18:57"
"49","0","0","56","0","0","0","0","2020-12-06 14:18:58"
"50","0","20","0","0","0","0","0","2020-12-06 14:18:58"
"51","31","0","0","0","0","0","0","2020-12-06 14:18:58"
"52","0","0","0","0","0","71","0","2020-12-06 14:18:58"
"53","0","0","0","0","5","0","0","2020-12-06 14:18:58"
"54","0","24","0","0","0","0","0","2020-12-06 14:18:59"
"55","36","0","0","0","0","0","0","2020-12-06 14:18:59"
"56","0","0","0","0","0","56","0","2020-12-06 14:18:59"
"57","0","0","0","0","55","0","0","2020-12-06 14:18:59"
"58","0","24","0","0","0","0","0","2020-12-06 14:19:00"
"59","36","0","0","0","0","0","0","2020-12-06 14:19:00"
"60","0","0","0","0","0","100","0","2020-12-06 14:19:00"
"61","0","0","0","0","38","0","0","2020-12-06 14:19:00"
"62","0","0","731","0","0","0","0","2020-12-06 14:19:01"
"63","0","21","0","0","0","0","0","2020-12-06 14:19:01"
"64","35","0","0","0","0","0","0","2020-12-06 14:19:01"
"65","0","0","0","0","0","90","0","2020-12-06 14:19:01"
"66","0","0","0","0","39","0","0","2020-12-06 14:19:01"
"67","0","0","0","0","0","0","ON","2020-12-06 14:19:02"
"68","0","0","0","ON","0","0","0","2020-12-06 14:19:02"
"69","0","24","0","0","0","0","0","2020-12-06 14:19:02"
"70","33","0","0","0","0","0","0","2020-12-06 14:19:02"
"71","0","0","0","0","0","54","0","2020-12-06 14:19:02"
"72","0","0","0","0","52","0","0","2020-12-06 14:19:02"
"73","0","25","0","0","0","0","0","2020-12-06 14:19:03"
"74","33","0","0","0","0","0","0","2020-12-06 14:19:03"
"75","0","0","0","0","0","58","0","2020-12-06 14:19:03"
"76","0","0","0","0","16","0","0","2020-12-06 14:19:03"
"77","0","0","39","0","0","0","0","2020-12-06 14:19:04"
"78","0","30","0","0","0","0","0","2020-12-06 14:19:04"
"79","37","0","0","0","0","0","0","2020-12-06 14:19:04"
"80","0","0","0","0","0","90","0","2020-12-06 14:19:04"
"81","0","0","0","0","25","0","0","2020-12-06 14:19:04"
"82","0","26","0","0","0","0","0","2020-12-06 14:19:05"
"83","31","0","0","0","0","0","0","2020-12-06 14:19:05"
"84","0","0","0","0","0","84","0","2020-12-06 14:19:05"
"85","0","0","0","0","39","0","0","2020-12-06 14:19:05"
"86","0","24","0","0","0","0","0","2020-12-06 14:19:06"
"87","40","0","0","0","0","0","0","2020-12-06 14:19:06"
"88","0","0","0","0","0","58","0","2020-12-06 14:19:06"
"89","0","0","0","0","47","0","0","2020-12-06 14:19:06"
"90","0","0","0","0","0","0","OFF","2020-12-06 14:19:07"
"91","0","0","0","OFF","0","0","0","2020-12-06 14:19:07"
"92","0","0","863","0","0","0","0","2020-12-06 14:19:07"
"93","0","28","0","0","0","0","0","2020-12-06 14:19:07"
"94","31","0","0","0","0","0","0","2020-12-06 14:19:07"
"95","0","0","0","0","0","45","0","2020-12-06 14:19:07"
"96","0","0","0","0","58","0","0","2020-12-06 14:19:07"
"97","0","21","0","0","0","0","0","2020-12-06 14:19:08"
"98","38","0","0","0","0","0","0","2020-12-06 14:19:08"
"99","0","0","0","0","21","0","0","2020-12-06 14:19:08"
"100","0","0","0","0","0","96","0","2020-12-06 14:19:08"
"101","0","24","0","0","0","0","0","2020-12-06 14:19:09"
"102","32","0","0","0","0","0","0","2020-12-06 14:19:09"
"103","0","0","0","0","58","0","0","2020-12-06 14:19:09"
"104","0","0","0","0","0","92","0","2020-12-06 14:19:09"
"105","0","0","205","0","0","0","0","2020-12-06 14:19:10"
"106","0","24","0","0","0","0","0","2020-12-06 14:19:10"
"107","38","0","0","0","0","0","0","2020-12-06 14:19:10"
"108","0","0","0","0","23","0","0","2020-12-06 14:19:10"
"109","0","0","0","0","0","80","0","2020-12-06 14:19:10"
"110","0","26","0","0","0","0","0","2020-12-06 14:19:11"
"111","36","0","0","0","0","0","0","2020-12-06 14:19:11"
"112","0","0","0","0","10","0","0","2020-12-06 14:19:11"
"113","0","0","0","0","0","49","0","2020-12-06 14:19:11"
"114","0","0","0","0","0","0","ON","2020-12-06 14:19:12"
"115","0","0","0","ON","0","0","0","2020-12-06 14:19:12"
"116","0","28","0","0","0","0","0","2020-12-06 14:19:12"
"117","32","0","0","0","0","0","0","2020-12-06 14:19:12"
"118","0","0","0","0","5","0","0","2020-12-06 14:19:12"
"119","0","0","0","0","0","52","0","2020-12-06 14:19:12"
"120","0","0","346","0","0","0","0","2020-12-06 14:19:13"
